asset_url,ext,used_on_pages
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1081x666_v-fs_webp_4ec25d1a-89fb-4456-8ad2-7ec4f365ecbe.jpg",jpg,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1081x666_v-fs_webp_4ec25d1a-89fb-4456-8ad2-7ec4f365ecbe_small.webp",webp,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1106x656_fabac142-8469-4af3-b5d0-cf565ef73a6d.webp",webp,"/news_contents/direct_sales_growth"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1108x558_v-fs_webp_9af545ba-f77c-4f0f-9c5c-f46bbeaf807b.jpg",jpg,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1108x558_v-fs_webp_9af545ba-f77c-4f0f-9c5c-f46bbeaf807b_small.webp",webp,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1112x676_v-fs_webp_af4c0701-47f4-4b8c-862c-8e7d0c277863.png",png,"/news_contents/lEnl6jVE"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1112x676_v-fs_webp_af4c0701-47f4-4b8c-862c-8e7d0c277863_small.webp",webp,"/news_contents/lEnl6jVE"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1142x740_v-fs_webp_a091b1dd-6909-4e58-9d57-22877055dbf8.png",png,"/news_contents/UEH3LjRQ"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1142x740_v-fs_webp_a091b1dd-6909-4e58-9d57-22877055dbf8_small.webp",webp,"/news_contents/UEH3LjRQ"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1144x1098_v-fs_webp_cb265641-c2a7-4521-bc09-a7e630774627.png",png,"/news_contents/UEH3LjRQ"
